label,tweets
2,'Send Her Back!' Trump Supporters at His N.C. Rally - The Atlantic // I read some of the comments from them and theyre all fucking boring. on the Trump train
2,At the next Klan rally Trump says horrible thing about Ilhan Omar Crowd send her back! Send her back! Trump (sarcastically) I gotta tell you to stop that Crowd continues to chant Trump flunkies on Fox Trump told the crowd to stop its not his fault if they carried on.
1,I couldn't agree more with S.E. Cupp on this
1,"Again..Send them backmeans To Their Districts! And fix those issues. Then, Come back and tell us how you fixed it. geez people"
1,Not surprised that Kevin Williamson has written the best thing Ive read on send her back
2,Crowd at North Carolina Klan rally responds to Grand Wizard Donald Trumps attack on a black woman in Congress with chants
1,"For all the people that count on Trump.. Saying I didn't like it, refering to the 'send them back' chant, he threw 60.000 of his Supporters under the Bus.. He did it also with confidant's much closer to him. No lie., you were there too."
1,"Ik zag zojuist dat Wilders, die send them back oproep van Trump als fantastic heeft geretweet. Zijn er nog Nederlandse"
2,"Oh, look. Fox News brought out their Pocket Himmler again."
1,"Then dont. Ill talk to the granny when I send you back today. She has to know how to You dont have to, Jungkook. Shes just going to shout at you and tell you that you are impolite. I dont want you to hear that because because you are not any of them."
1,SEND THEM BACK!
2,I am just wondering if I am the only one hear a female-sounding voice first say the send her back chant. I hope the folks chanting that have been identified? ijs for the sake of public safety I would think
1,"Illegal Alien, Underage Accomplice Charged with Mass Murder, Execution of Children in Alexander County | First In Freedom Daily"
2,"As a Jew, I also am outraged!..... at Stephen Miller's false indignation. Hitler also was a Jew. #hypocrite #hatemonger #antisemite-semite Fox News host presses WH adviser Stephen Miller on 'Send her back!' chant at Trump rally"
1,Send Melania back to her country.
2,Send your wife and inlaws back to their country. They are not as Americans. Teach them to speak proper english
1,"Hell trigger the crowd on immigration send them back, send them back and say thats not racist its strong borders, and start to normalize it"
1,key word MIGHT Mike youre just another one of those that is religious by necessity not by beliefs.
1,GOP'ers on the border crisis How dare you call us anti-immigrant!! We're against ILLEGAL immigration!! Big differen
1,"New Banging is here, I'm discussing how to #FREEASAPROCKY, Some serious Sick Fukc's of the Week including"
1,Yea because stupid people like you act as though American citizens don't commit any horrible crimes. I guess Epstein must be an illegal immigrant. The best part of you apparently ran down your mamas leg.
1,"13 Seconds in America After Condemning 'Send Her Back' Chant, Trump Doubles Down"
2,U.S. Rep. Alexandria Ocasio-Cortez told constituents on Saturday that President Donald Trump enjoyed hearing a crowd at his rally call for a U.S. congresswoman to return to the country where she was born.
1,Isn't she an illegal immigrant and terrorist supporter. What's racist about wanting her gone from their country.
1,Every crime committed by an illegal immigrant is preventable. #assault #bordersecurity #children #crime #deportation #family #Georgia #illegalimmigration #immigration #police #rape #sexualabuse
2,"So you agree that Send her back is racist, that the Electoral College is de facto racist, that the U.S. immigration system is racist, that the U.S. judicial system is racist, and that anyone who supports Trump is racist? Good - Im glad you understand racism!"
1,Why Send Her Back Is Even Worse Than Lock Her up
1,"It's amazing, the people who are tweeting #HateHoax are the same exact crowd who defended send her back, Trump's base and Trump just a few days ago. Why are these people so desperate to disprove racism exists in America when they defend it so frequently? #RacistPresident"
1,Send them back....to their communities.
1,For Gods sake send them back
2,This is a very hypothetical tweet. You cant say that you didnt like the chant then retweet send her back is the new lock her up. Youre a disgrace
1,"December 12, 2018. A 70 y/o man beheaded and dismembered by neighbor who was an illegal immigrant. Wife of 49 years Trying to figure out how I am going to live w/o my husband. We can match story for story. Enough already."
1,When you try to break through a barrier it is NOT seeking asylum. and Little Miss 9% know this yet are still advocating the criminal activity. Close the border and send them back.
1,"My grandfather was full blooded from the Saux &amp; Fox tribe. That makes me part red man &amp; part white one. If I say send them back, does it make me a racist? No, to me it does not. I am an American. I say send them back because they came here illegally. They broke our law."
1,Remove from Congress and remove her citizenship and send her back!!
1,"I support u, n think ur progress is great 4 the country, these positives need 2 b focused on, the Squad have said very Un-American worrisome things, I just dont want 2 see u take away from that by wording things wrong...like cant send them back cause citizens"
2,Donald Trump said he tried to stop the 'send her back' chants ... but did he? - video
1,Here's how you handle an ungrateful and disrespectful illegal alien in our country who spits on an employee
1,'Send Her Back' The Battle That Will Define Us Forever - The Atlantic
1,Let Trump be Trump! Your statement sounds like Political Correctness. I will stick with Send them Back.
1,Because there is no such thing as an illegal alien. People cant be illegal. Acts can be illegal. People cannot be.
2,"Q Sent Me. -Gravely concerned about Doctored Videos? --Preemptive? Yeah, we know. -Send her back Chant? --Did you see what Omar did over the weekend? --How is this not Racist? How can you defend this? -Standard Hotel?"
2,Send her back. Send her back. while the racist in chief looks on and lets them chant. The first openly racist
2,"Did you see him tell a bald-faced lie today when asked by a reporter about the chant of send her back at last night's rally? He threw those supporters under the bus w/o so much as the blink of an eye. I didn't agree with them. I didn't like it. I didn't say it, they said it."
1,She was here illegally. Send her corpse back.
1,"I agree don't separate her from her illegal mother, send them both back... Keep families together"
1,I read this too fast n thought it said he might make an effort to send her back lol
2,"Mark Meadows who used Birtherism to secure his seat in the House, but is not a racist? S"
2,"To chants of Send her back, Trump lies that is guilty of vicious antisemitic screeds. Every liberal and l"
1,Message send them the video about the scammer and they will give your stuff back
2,Trump is Not happy with the chants? Bull. He can tell reporters to be quiet but doesn't have the decency to tell his mob t
1,"Trump never said send them back , just a fact."
1,"So.. (R) Tom Tillis! Clapping to thesend them backchant, in Greenville! I'm not sure WHY he would do this? He MUST be enamored with the Trump style, hateful MAFIA? So much forall folks considered equal! Maybe he wants to be retired, in 2020? No LOVE for the US, just Trump."
1,Stephanopoulos Confronts Trump Campaign Advisor Over Response to 'Send Her Back' He 'Sat There for 13 Seconds'
1,Tml schedule Gonna take bus to my house and take car den go back to uncle house to pick my lady boss and Ahmad up to the nirvana... den after gonna send them back to redhill. Den drive the car to my dad house .. and take bus to my uncle house ..
1,or any of the Trump's really have no business being in politics. They really sound like ignorant Kool aid followers. Send them back is text book racism.
2,"Re article in the National Review 'No One Really Wants to Send Her Back'. Mr. McCarthy makes some excellent points in his article. However, there seems to be a bigger issue here that no one is talking about. Rep. Omar is not just another citizen, she is a"
1,Send them all back home! The whole Squad.
2,He will be right back at it at the next rally. And he'll say something like this Now I've been told your chant of 'send t
2,Dont know what that means. Im not offering a defense of Trump or arguing racist/not a racists. Observably. Trump did not incite the crowd. That Trump attracts those who make such chants Send her back &amp; who share his approach/view of his political opposition is a given.
1,They should be sent home post-haste. It's only fair. They have to go back. We have no interest in keeping them or paying for them. Send them -all- home! All of them and their anchor nits!
2,"Hi! there is your unroll Thread by 1/ Days ago, from distric"
1,"Ilhan Omar is Ilhan Elmi, an Illegal Immigrant Ilhans family committed immigration fraud! She entered with a different family. Last name is not Omar, it's Elmi. Lock her up! Set an example"
1,Enter our country legally..and become a congresswoman..MAGATs ..send her back! How contradictory
1,"Chrissy, when you accuythe President of saying something you should have video proof. Therefore show us where the President said Send them back or admit to being a liar!"
1,ALL JEWS SHOULD BE OUTRAGED BY THE ANTI-JEW RHETORIC BEING PREACHED BY the squad! YET DEMS SAY NOTHING ABOUT IT.
2,"As Democrats condemn chants of send her back at a Trump rally in North Carolina on Wednesday, referring to Minnesota Rep. Ilhan Omar, 2020 presidential candidates are working to secure her second term."
2,I am so sick of the Leftists getting away with demonizing any Republican and our President! And when any Conservative launches an opinion against any liberals OMG crucify them! So what if they chanted send her back at least it wasnt violent like Antifa!!
1,"Learn all about her family's illegal alien and war criminal status, ties to Somalian dictators and ties to Fidel Castro. Dave nails it."
1,I am only copying and posting the words from the site that you gave to me. How can it be fiction? Don't send me websites to back up your comments if you do not want to stand by them!
2,A President who lied about the chants on Thursday. He didnt like the crowd in North Carolina chanting sen
2,"Wherever Trump goes some cohort will be chanting back!his newest controversial tweet they agree with Send her back, Fake News, etc. Trump attracts that sort of support, welcomes, &amp; gives place. Ive lived in NC most of my life Send her back isnt a new sentiment."
2,Cupp calls out Republicans What a load of crap GOP are unAmerican assholes.
1,Why would anyone need anonymity when telling reporters that urged the president to step away from send them back. This makes NO sense.
1,"Yes, instead of Send her back the chant should have been Vote Her OUT! if you want to help do that with follow"
2,"Reveling in the chants of Send Her Back washing over you for 13 seconds, then denying it in spite of video evidence is all I need to know about your character and integrity..."
1,"The foundation stone of refugee protection, the principle of nonrefoulement, which prohibits forcible return of refugees,"
1,Man arrested for murdering mother and her two kids is ILLEGAL alien and was already deportedTWICE
1,Is 13 seconds that big a deal? In fact is send her back a big deal? They were just parroting what most Americans think and don't dare start with the race baiting. If any one of us said the did the the things she does we would want to send them back too.
2,Now four members of the House are receiving death threats due to trumps last rally where he stood and smirked as his people chanted send her back. Does someone have to get killed before the dems invoke impeachment?
1,Under our First Amendment those people have as much right to chant Send her back as she has to say the hateful things she has said to make them want to chant it.
1,Little Justin Beiber has a friend that is an ILLEGAL ALIEN? SURE HE DOES LMAO....These whiny little punks do anything to get their name in the press.... Is this kid Canadian? He can take his friend there then.
2,"Ive been wrong about the American public and press vis a vis Trump so many times that its embarrassing, but I think send her back is going to stick and hurt Trump for the entire campaign. When Trump loses, that NC rally chant will be recognized as his downfall."
2,Megan Rapinoe slams send her back chants as disgusting and despicable via
1,"Send her back! Send her back, send her back"
2,If you identify as a Christian and are chanting send her back or lock her up you most assuredly woul
2,Chris Wallace Shuts Down Stephen Millers Lie About Send Her Back Chants
1,Boo Hooo the faux liberal tears are flowing today. Everyone of these ILLEGALS had several chances to come to Court....NO SHOW....or the ILLEGAL has a criminal record. Kamala learn the difference between a Legal immigrant and an illegal alien....
2,"TRUMP YOUR WORDS !!!!!!!!! MATTER !!!!!!!! Virginia Democrats vow to boycott event if Trump attends, invoke 'send her back' chants"
2,"My mailbox is so dreary, mostly junk and bad news. It's always a treat when sends mail! I need to find something to send back to her for all the goodies she's sent me."
1,Bet you posted about all American Patriots murdered raped robbed children molested by illegal alien invaders?
2,"Just to quote the president well I think I did, I started speaking very quickly in response to the Send her back chants in NC, but as ANYONE can clearly see the man waited 13 full seconds before speaking... hows that improvised by reporters exactly? Im confused."
2,I don't have hate in my heart. When you tell people to go back to their own country that's considered hate. Send her back that's hate. Caging children and letting them sit around in their own feces that's hate. Letting migrants drink toilet water that's hate.
1,I love my God my Jesus Christ I love him but if people don't like America there are other countries to go so yes I will say send her back
2,"'This Week' Roundtable Send Her Back Chant, 2020 Candidates, MuellerTestimony"
1,SEND HER BACK....assuming THEY want her back
1,Send her back shes evil
1,If the left doesnt lit the chant...Send Them Back.... change it. (Send Them Packing) Sounds the same and still get the messenger across.
1,"Paula very nice Thats all this squad if 4 can say They are radicals and hateful That need to be voted out and 1 of them need to Well, send her back"
1,don't worry. We'll be chanting send them back the next time you float the idea of importing more LEGAL cheap labor too.
2,TYPICAL;LAURA Trump;came out B4 Trump spoke&amp; had the Crowd already Saying Send Her Back. Trump tried to play the Hero; I tried to them. And LIED&amp; said; its Not Racist. Whats that say TO THE MINORITIES;Coming to our Colleges. 2 JOIN 21st century KY
2,Send Her Back and the Advancement of Trumps Authoritarian Playbook #SundayMorning #SundayThou
1,I love Caramel so much... she's my very first real OC starting back in 2012 or so and I've grown as an artist with her since; please send love; she's a mad scientist
1,send her back
1,"Anybody who says that VERY PATRIOTIC PEOPLE were chanting Send them back was American,Its a racist! All you have to do is being ok with racism to be a racist .. FULL STOP AND DROP THE MIC"
1,"I really, really want to know how they feel now. Shouting out send her back in support of their emperor. And then him declaring oh no, that's not me. I tried to stop them."
2,Fox News Chris Wallace hammered top White House adviser Stephen Miller on Sunday after he claimed President Donald Trump made clear that he didnt condone his supporters racist send her back chants at his rally in North Carolina last week.
1,where he originally stood. I will send you back to the Fade. Her eyebrows knit together rising the staff above her head a light of brilliance burns disrupting all shadows on the surface. Twirling the staff in rotations she flings a blob of white light while he was blinded by -
2,Daily News | I cant stop thinking about the little girl behind Trump and the hate shes being taught | Will Bunch
2,HAVE YOU EVER WONDERED WHAT GOD SAYS ABOUT BORDERS? #ReasonForTruth #StevenGarofalo
1,"This is a bad argument, Brit. Even if I accept the premise that send her back is more about populist villainization ("
1,The only time that send them back is appropriate to yell is when it follows ...there are Guild heighliners above us containing many great Houses of the Landsraad.
2,"U referring to send her back comments? Trump wants her to go back because she hates our country, not because of skin color. Not racism."
2,"'Anyone insinuating that there was some premeditated plan to orchestrate the send her back chant' I guess you're right, it wasn't orchestrated. These people are hardcore racists, they absolutely know what to do without any training. #RacistPresident #RacistTrumpFamily"
1,"Yes. Send them back where they came from Trump, McConnell, Graham and Barr"
1,Did you read the first reply to his Tweet? This woman actually said he didnt say send them home and they can never come back. I almost threw my phone.
2,Should we take bets ... how far into the next klan rally will they chant send her back -- and will 45 say even one w
1,"Instead of send her back, why not Vote them out!!"
1,"......The bartender says, send them back! and it turns out he has no liquor license......"
1,"Like so many, I cant afford health care coverage due to ACA &amp; I had a judgement against for ER surgery. I thought about declaring an illegal alien status to receive med care for free but that would be a crime. Oh wait...isnt being here illegally a crime? Fuck progressivism!"
2,If you'd like more inf
1,"Police Man broke into Utah home, asked for sex, got naked on couch. Yes people must help themselves always be aware &amp; check &amp; recheck!Weirdos are everywhere especially with the millions of illegal alien criminals on every corner"
1,"If wants to arrest Trump for saying Send her back (which he didn't), maybe she should he charg"
1,Oh do eff off you stupid old man. These are blatant lies. If he really is a refugee (and not the illegal im
2,Hi Kevin. Do you believe Trump when he said he wasnt happy about last nights crowd chanting Send her back? He also claimed he tried to stop them. If you do believe him do you agree that he shouldve stopped them?
2,Racist Trump could never truly disavow racist 'Send her back' chant because it is Racist Trumpism incarnate
2,'Charlotte is no place for racist hate speech' | Mayor Vi Lyles responds to 'send her back' chants from Trump rally
1,"Good, sane article"
1,She is an ILLEGAL alien who isn't a United States of America CITIZEN. She isn't eligible for CITIZENSHIP and
1,White America arms the very menacing assholes who slaughter those fleeing Latin America and being dehumanised with the illegal alien designation. Those weapons used throughout MENA? Also vast majority being exported by USA.
1,"I agree. But its not helpful to encourage them to continue to attempt illegal entries. Which is exactly what many on the left are actively doing. This strategy results in more death, anguish, family separations. We need to treat humane but send back when they do come."
2,Pandita Hindu diserang di dekat kuil Hindu di New York oleh pria Amrik sambil berseru Ini tempat kami! Ini korban dari keb
2,"I have never seen so much hate and racial intolerance in one place before in my life, until I saw footage of an entire crowd at Trump's rally chanting send her back. And I bet nearly every one of them consider themselves Christian. #NotInMyCountry"
2,"WHY DON'T U JUST SHUT THE HELL UP. U HAVE NO IDEA WHAT THE HELL U ARE TALKING ABOUT. CHANT WAS NOT RACIAL BUT U RACIST DEMS MAKE EVERY DAMN THING RACIST. U ARE HATEFUL,BIGOTS."
1,"Grandma Mori would knit her bonnets &amp; such, &amp; mail them on. Nanny Anne would take photo's of Ara in the clothes Mori"
1,There only interest is treating the UK like their ATM machine Freedom of movement to poorer countries is great . We pay the EU to improve their economies then they come here and claim benefits for them to send back to their own countries. Its a double tap on our economy
2,"It was sad ... to see what happened in my community, the chants to send her back coming from people that I probably know, a North Carolina restaurant owner said. So he's donating thousands to an immigration charity. via"
2,Mike Pence says Trump 'might make an effort to speak out' if 'Send her back' chant happens again via
1,"THEY HAVE HIGHEST HOMELESS POPULATION, ILLEGAL IMMIGRANT POPULATION, GAS PRICES, HOME PRICES AND TAXES. HARD TO FIND LIBEY AND PROSPERITY UNDERNEATH ALL THAT GOVT CONTROL!"
2,"Send her back was lowbrow lowest common denominator chanting allowed by and encouraged by the President who is on the other side of this issue. Yes, both sides engage in divisive politics."
1,Send her back ungrateful
2,So why arent he and his cult followers chanting send her back!? Because shes white.
1,"After send her back, he will be savaged by everyone he knows if he tries it. Not sure he wants to become a pariah in the cocktail circuit. Peter Thiel's position in society isn't an enviable one."
2,Good piece from Sathnam Sanghera on BBC Broadcasting House this AM on being a victim of send her back-type racism #FBPE
2,Stephen Miller Has No Idea How to Separate Trumps Omar Criticism From the Presidents Own Complaints via
1,Send her back is not racist She hates America so much she should leave with all the celebrities Oh wait... none of them left
2,"Trump knew off rip that send her back chant wasnt a good look, he did try to talk over them at first but they caught wind an it was too late, wouldve been great if the happened the night before the election tho"
1,Free them by sending them back in to Mexico? Thats already happening.
1,Do you think Trump will look kindly on Kim and Kanye West and not send them back to where they came from?
1,"Did You Know that even if you send them back, American Citizens can STILL VOTE FROM ABROAD? YES, We CAN! YES, WE DO! Get Registered at #daresists #dacanada #votefromabroad"
1,Man arrested for murdering mother and her two kids is ILLEGAL alien and was already deported...TWICE (Via CNR)
2,An emerging pattern of refoulement around the world.
2,"Donald Trump resumes Twitter attack on 4 Democratic congresswomen, saying he doesn't believe they are capable of lovin"
2,Every single thing that comes out his mouth.......or tweet......let me guess you were also chanting send her back
1,"During the episode discussing THE EMIGRANTS, do any of the hosts scream SEND THEM BACK! SEND THEM BACK!?"
1,"With all due respect sir, we cannot do that. When life hands you a lemon, make lemonade. We cannot send him back to the dark corners of our country. This is a great opportunity to flex the judicial system's muscles and put these grifters where they belong. Put them in jail please"
2,Obama brought them here illegally. Send him and them back.
1,There is a deep misogyny behind Send her back! and Lock her up! We shouldnt look away.
1,"The fact that the head of state said Send them Back, the majority pathetic coward in the Senate and the minority sick individual in the House plus the Attorney General supports the Narcissist is sickening! We are headed in the wrong direction"
2,The Democratic legislator spoke in New York for the first time since Trump again criticized her and three other minority Democrat
2,"What a powerful, strong sister. Bless her!"
1,An excellent article! No One Really Wants to Send Her Back
1,Actually he said Send her back not Send them back. Your illiteracy is showing.
2,Have you seen the vid of Lara Trump warming up the crowd before he came on stage?? She led the crow
1,SEND THEM BACK!!!
1,"Send her, Elixabeth Saxe-Coburg back to Germany where she came from. Agreed. And Trumpf to the land of his fathers and Busch likewise."
2,"Wonderful comments by today. As an immigrant from a hostile country who has proven his commitment to our country, he is in a position like few others to repudiate the anti-diversity message we hear so often from the White House."
1,Send them back is ok to say !!
1,Speak for yourself. Send them all back.
1,"send her back, she speaks gibberish.. come on... send her back..."
1,Here's how your handle an ungrateful and disrespectful illegal alien in our country who spits on an employee
1,Cant wait until every illegal criminal alien is out of the US
2,"I dont think you can totally close them, but if you go into the story settings, you can choose to only allow followers you follow back to send message replies"
1,Port of call. Any other way is invasion. Send them back.
1,THATS BECAUSE DEMOCRATS WANT TO ENJOY THE MEMORY OFF SELLING SLAVES AND LYNCHINGS RAPES IF TRUMP COMES HE EXPOSES THEM Virginia Democrats vow to boycott legislature's 400th anniversary celebration if Trump attends
1,"Isn't the term illegal alien? They're not immigrants, undocumented or not."
1,Migrant Illegal Alien.
2,I sympathize with the asylum seekers. my advice to them is to apply for asylum while staying in their own countries. That is
1,"She doesn't understand English, does she? Nor does the Leftist American media. He mocked her at his rally Wednesday night; not surprised she's ticked. Even still, Send Them Back"
1,"heres a reminder that you cant force people to send the same energy back just because youre giving it to them, especially if they never asked for it."
1,"8 U.S. Code 1324. Bringing in and harboring certain aliens (a) Criminal penalties (1) (A) (iii) Any person who knowing or in reckless disregard of the fact that an alien has come to, or remains in the US in violation of law, conceals, harbors, or shields from detection, or"
1,"He literally disavowed his followers rightfully chanting send them back to the communist islamist foreigners. He souldn't back down from anything for the left. Trump was good in 2016, but we need a stronger candidate for 2024."
1,"I'm a Texan. I would only send the Trump rubes here back to th video poker parlors and the BYO bars where they can be miserable, moronic racists all they want. Hell, just give them a handful of lottery tickets and Bud Ice king can and they'll forget their idiot king."
1,Send them back - all of them
2,Trump just said he didnt like the send her back chant at his rally. Then why did he tweet that same
2,Pres. Trump I was not particularly happy about the send her back chant - #OANN
1,Send them back is patriotic?
1,#Clayton mayor #TuijaCatalano responds to #CanesasBrooklynHeros deli owner John Canesa 's 'send her back' Facebook post ht
1,SHE ANSWERED A WEEK AGO 7/15 IT IS BEYOND TIME TO ASK MUSLIMS DENOUNCE TERROR!! But Send them back to improve the countries they came from.. CROOKED MEDIA ALL OVER THAT TWEET...
2,I think people realized chanting Send Her Back was not cool. We totally agree that Americans have the right to American - which is why were passionate about this country &amp; dont like it when people DONT like this country (ie The Squad).
1,the baseball game im at is playing the alien ant farm version of smooth criminal is this hell? am i in hell?
2,Chris Wallace presses Stephen Miller on 'send her back' chant at Trump rally Your be working for cnn.
2,"Trump in your next rally &amp; if your supporter start chanting &gt;Send her back&lt; I would ask my supporters, I know how the SOME DEMS LEFT YOU feeling like a POS, but let's chant what we really want from them ... All We Want Is Love ... as they wave lights on their phones."
1,"If they are so horrible, send them back home, if theyre not here legally they shouldnt be here."
1,Yeah send them back.
1,Sorry but President Trump loves Send her back just as he liked Lock her up Pence is enabling him just as th
1,"He has been staying in the country illegally for 12 years in violation of his entry visa. That is the issue. The day his expiration date ran out was when he needed to have left by, since then his status has been as an illegal immigrant."
1,So I wonder when somebody is going to do something about Omar marrying her brother so he could come to this country! Why dont we LOCK HER UP and then SEND HER BACK
2,Chris Wallace presses Stephen Miller on 'send her back' chant at Trump rally | TheHill
2,"And their you have it! He had no problem with the send her back chant. After saying he didnt like what his supporters were chanting, he had to reassure them them that hes still a racist."
